Location,2024,2025,2026
Alabama,0,1,0
Alaska,0,4,0
Arizona,5,221,36
Arkansas,0,8,0
California,13,26,17
Colorado,0,35,1
Connecticut,0,1,0
Delaware,0,0,0
District of Columbia,1,0,0
Florida,11,8,64
Georgia,5,10,1
Hawaii,0,2,0
Idaho,0,14,2
Illinois,67,14,2
Indiana,1,10,0
Iowa,0,9,0
Kansas,0,91,0
Kentucky,0,13,4
Louisiana,2,3,0
Maine,0,0,5
Maryland,1,3,0
Massachusetts,1,0,0
Michigan,7,29,0
Minnesota,65,26,5
Mississippi,0,0,0
Missouri,2,6,0
Montana,0,36,0
Nebraska,0,5,1
Nevada,0,2,0
New Hampshire,2,0,0
New Jersey,7,11,0
New Mexico,2,100,0
New York,1,26,0
New York City,13,15,1
North Carolina,1,2,17
North Dakota,0,36,6
Ohio,7,40,5
Oklahoma,1,17,1
Oregon,31,1,5
Pennsylvania,6,16,5
Rhode Island,0,1,0
South Carolina,1,329,632
South Dakota,1,16,6
Tennessee,4,8,0
Texas,1,803,7
Utah,0,188,117
Vermont,1,2,1
Virginia,1,6,9
Washington,6,11,24
West Virginia,1,0,0
Wisconsin,1,36,2
Wyoming,0,15,0
